age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,target,sector_trend,fed_rate,vix
2.2493,3.0027,4.6685,6.7041,3,3,12.834683971615659,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,1,29.0,0.15,38.063809523809525
5.126,9.9973,7.0055,7.0055,9,4,17.50688691721445,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,1,2.0,2.5,11.708947368421052
1.0329,1.0329,1.4575,2.2055,5,1,14.77102238760702,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,1,11.0,0.16,17.767391304347825
3.1315,5.3151,6.0027,6.0027,5,3,17.50439003707821,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,1,2.0,2.5,11.708947368421052
0.0,1.6685,0.0384,0.0384,2,2,14.077875591662238,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1,0,26.8,0.19,24.74590909090909
4.5452,4.5452,5.0027,5.0027,3,1,15.830413711839864,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,0,26.2,5.24,15.326
1.7205,5.211,3.0,6.6082,6,3,17.073607134447293,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,1,5.0,5.25,12.1845
1.6466,6.7616,5.6055,7.3616,25,3,17.344807971579257,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,1,29.4,3.5,12.951304347826088
3.5863,11.1123,8.0055,9.9945,13,3,16.082468576942105,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1,1,73.0,3.5,12.951304347826088
1.6712,4.6849,2.9178,6.1151,14,3,15.564710586686562,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1,1,5.0,5.26,11.155263157894735
4.6274,9.4493,10.1342,10.6493,22,3,17.129696599000436,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,1,77.0,3.26,11.049
